filename,peak_accel_g,total_duration_s,arias_total_ms,duration_5_95_unfiltered_s,t5_unfiltered_s,t95_unfiltered_s,duration_5_95_T0.1s,t5_T0.1s,t95_T0.1s,arias_filtered_T0.1,duration_5_95_T0.2s,t5_T0.2s,t95_T0.2s,arias_filtered_T0.2,duration_5_95_T0.5s,t5_T0.5s,t95_T0.5s,arias_filtered_T0.5,duration_5_95_T1.0s,t5_T1.0s,t95_T1.0s,arias_filtered_T1.0,duration_5_95_T2.0s,t5_T2.0s,t95_T2.0s,arias_filtered_T2.0,duration_5_95_T3.0s,t5_T3.0s,t95_T3.0s,arias_filtered_T3.0
Seismogram_USC_195_45_bb.grm,0.0053563076,119.99000000000001,0.0004613777638938699,26.609459006305524,20.146361140516763,46.75582014682229,2.1678828636186545,20.09122925096739,22.259112114586046,1.5012098128859473e-06,2.969326811943141,19.680018740498728,22.64934555244187,4.6624540449354534e-06,12.857482182163999,19.984699422764088,32.842181604928086,1.3180475738410286e-05,26.044764989127348,21.19695748913318,47.24172247826053,0.00011637078117093378,23.7791941054076,20.331912321935523,44.111106427343124,3.2161648089043246e-05,24.4157474447355,15.265305464975356,39.68105290971086,2.4390865657023635e-05
Seismogram_USC_128_483_bb.grm,0.0036407055,119.99000000000001,0.00030739252791075886,40.48285435367737,12.4339164256434,52.916770779320764,6.537843360434223,12.398601590128536,18.93644495056276,5.815819298698788e-06,6.15031875470846,12.638962331916607,18.789281086625067,4.21732684912292e-05,18.576732732702347,10.654327732804207,29.231060465506552,1.2779062135099436e-05,26.25579194403557,14.416658544740084,40.67245048877565,4.137659922850191e-05,52.84397589860831,12.870258869018436,65.71423476762675,3.343347773958101e-05,48.75581636774476,12.204027618315212,60.959843986059965,2.388776102004207e-05
Seismogram_USC_128_8_bb.grm,0.0013266423,119.99000000000001,9.961258166257327e-05,45.89858094052887,25.789903067403085,71.68848400793196,2.7047102525037445,24.598060749725345,27.30277100222909,2.728950576604829e-07,2.352348950023206,24.413531212841537,26.765880162864743,2.0416943459551232e-06,13.395162659906408,25.342742617966483,38.73790527787289,2.9858805002744726e-06,39.24295882511916,26.599699597304667,65.84265842242382,4.727323036137379e-06,46.38954670797533,26.82783404354288,73.2173807515182,3.549319372677636e-05,25.04672444995289,32.370386559416055,57.417111009368945,1.1681435328301118e-05
Seismogram_USC_232_266_bb.grm,0.009611125,119.99000000000001,0.008566835358011012,33.21788086989883,27.73547037072109,60.95335124061992,2.8134054738564913,23.346879479040837,26.160284952897328,1.2206914753279156e-06,2.592100737983351,23.64134955157364,26.23345028955699,1.8321620050898995e-05,15.74926287704998,25.18309404848855,40.93235692553853,8.536130425644507e-05,35.258248272340516,25.880909149752227,61.139157422092744,0.0006405547396757252,27.630401311189324,33.9700320631177,61.60043337430702,0.0034443228932478976,21.72326497183369,29.151783598409384,50.875048570243074,0.0011512674314208497
Seismogram_USC_110_0_bb.grm,0.0071192896,119.99000000000001,0.0010249241347911652,25.633324899367697,10.512017962375669,36.145342861743366,12.725755515689308,10.600438939085429,23.326194454774736,2.6788547723916266e-05,13.025837887515733,10.373845565807168,23.3996834533229,0.00017788004932325002,14.39685478075719,10.484705030733396,24.881559811490586,3.864302182782669e-05,38.10361144936228,10.023869342044208,48.12748079140649,2.9359643187217877e-05,40.37902252902835,9.477626024984556,49.8566485540129,0.0001729802530096234,52.91420618910556,9.093725046835758,62.00793123594132,4.769661960279132e-05
Seismogram_USC_259_39_bb.grm,0.012048357,119.99000000000001,0.005544613712656018,30.709945177651257,37.535500669303296,68.24544584695455,3.7100679147990228,29.668743604871853,33.378811519670876,2.2775654680907212e-07,4.668983489355526,29.162775447603046,33.83175893695857,3.2872268234808035e-06,15.586824842395757,31.760312740008132,47.34713758240389,3.59203047983805e-05,25.452000656557253,32.98870814062026,58.440708797177514,0.00027152870355019905,44.7146749622138,34.04997557229678,78.76465053451058,0.000638971353259299,27.711120614667763,40.88393807475755,68.59505868942531,0.0019379380525295466
Seismogram_USC_125_17_bb.grm,0.0020071017,119.99000000000001,0.0001227940771393325,32.20353171519119,22.94895878787739,55.15249050306858,2.4167050071846674,22.351299649682645,24.768004656867312,2.3087809748945687e-07,2.266194011138669,22.289098442890175,24.555292454028844,1.81058245610997e-06,12.649379297341785,17.101408885066853,29.750788182408638,6.5824417422588e-06,32.99632139759413,23.88718257189556,56.88350396948969,1.6789755398767763e-05,21.69509877377655,25.18354362007866,46.87864239385521,5.170386942658718e-05,49.5529681623647,20.87679337613411,70.42976153849881,1.0760359224773256e-05
Seismogram_USC_218_265_bb.grm,0.09981805,119.99000000000001,0.19504567199554101,26.144908022460342,4.731580868981019,30.87648889144136,6.827927054941327,4.940928588431699,11.768855643373026,0.00028534553415662627,6.35949769416313,4.413967690281565,10.773465384444695,0.0016068320901775272,5.318852802467371,5.2911941549467665,10.610046957414138,0.0077760880036333415,19.531640355696666,4.383431791475452,23.91507214717212,0.024996284967307127,37.10303735232529,5.17336080568473,42.27639815801002,0.05244283992532351,36.60417940575327,2.2112006074167487,38.81538001317002,0.02580699351646402
Seismogram_USC_128_921_bb.grm,0.011771757,119.99000000000001,0.0079556768078643,29.8873432315943,18.229344716471296,48.1166879480656,10.503396228072267,15.915749996219182,26.41914622429145,1.214342390163568e-05,8.681711339994045,15.798593399089494,24.48030473908354,9.40254733597031e-05,16.579787123414736,17.860279333108256,34.44006645652299,0.00010720837073161005,30.13003485639681,17.65097242325526,47.78100727965207,0.0006085247172821362,34.381944098975666,22.090296936913074,56.47224103588874,0.0014614452496124171,26.669762494574364,17.92614257739131,44.595905071965674,0.0019887756591977397
Seismogram_USC_182_78_bb.grm,0.008476582,119.99000000000001,0.002118353245462247,15.567404454404183,16.719749232533182,32.287153686937366,5.085042876555699,15.351890153082861,20.43693302963856,4.268046654249188e-06,5.7350279104355675,15.533455576830237,21.268483487265804,1.738261816051812e-05,13.798398678412816,17.86767311310813,31.666071791520945,6.700138991949597e-05,15.939953351399245,15.867459514894458,31.807412866293703,0.00026695225455409285,12.366159954194696,20.02757288756887,32.393732841763565,0.0007693148573081059,22.13879474223673,18.546595931319597,40.68539067355633,0.0001600885745443026
